clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
CL585679,501A,Skin,501A,Melanoma,27
CL131311,624 mel,Skin,501A,Melanoma,26
CL131257,928 mel,Skin,928 mel,Melanoma,27
CL587462,A-253,Skin,A-253,Carcinoma,47
CL584727,A-375,Skin,A-375,Melanoma,25
CL583906,A-431,Skin,A-431,Carcinoma Squamous Cell,30
CL586143,A2058,Skin,A2058,Melanoma,18
CL587686,A388,Skin,A388,Carcinoma Metastatic,45
CL586084,COLO 800,Skin,COLO 800,Melanoma,45
CL131105,COLO 829,Skin,COLO 829,Melanoma,56
CL586108,COLO 849,Skin,COLO 849,Melanoma Metastatic,47
CL586612,COLO 853,Skin,COLO 853,Melanoma,
CL586613,COLO 857,Skin,COLO 857,Melanoma,31
CL586813,COLO 858,Skin,COLO 858,Melanoma,
CL131336,G-361,Skin,G-361,Melanoma,35
CL587227,HCC1498,Skin,HCC1498,Melanoma,31
CL586618,HMY-1,Skin,HMY-1,Melanoma,31
CL586965,HSC-1,Skin,HSC-1,Carcinoma Squamous Cell,57
CL586959,HSC-5,Skin,HSC-5,Carcinoma Squamous Cell,
CL587482,HT-144,Skin,HT-144,Melanoma,57
CL131382,Hs 294T,Skin,A101D,Melanoma,36
CL131109,Hs 695T,Skin,Hs 695T,Melanoma,56
CL586080,Hs 852.T,Skin,Hs 852.T,Melanoma,63
CL586568,IGR-1,Skin,IGR-1,Melanoma,18
CL586596,IGR-39,Skin,IGR-39,Melanoma,45
CL131111,MDA-MB-435,Skin,MDA-MB-435,Melanoma,35
CL586309,MEL-HO,Skin,MEL-HO,Melanoma,27
CL586028,MEL-JUSO,Skin,MEL-JUSO,Melanoma,29
CL586619,MMAc,Skin,MMAc,Melanoma,82
CL131317,RPMI-7951,Skin,RPMI-7951,Melanoma,30
CL586650,RVH-421,Skin,RVH-421,Melanoma,50
CL586086,SK-MEL-1,Skin,SK-MEL-1,Melanoma Metastatic,63
CL586020,SK-MEL-2,Skin,SK-MEL-2,Melanoma,62
CL586098,SK-MEL-24,Skin,SK-MEL-24,Melanoma,72
CL131107,SK-MEL-28,Skin,SK-MEL-28,Melanoma,39
CL586647,SK-MEL-3,Skin,SK-MEL-3,Melanoma,50
CL586029,SK-MEL-30,Skin,SK-MEL-30,Melanoma,26
CL587138,SK-MEL-31,Skin,SK-MEL-31,Melanoma,55
CL586144,SK23-mel,Skin,SK-23 MEL,Melanoma,20
CL587106,UACC-257,Skin,UACC-257,Melanoma,47
CL586090,UACC-62,Skin,UACC-62,Melanoma Metastatic,39
CL586292,UCSD-242l,Skin,UCSD-242l,Melanoma,46
CL586497,WM-266-4,Skin,WM-266-4,Melanoma,29
