clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
KYSE510_OESOPHAGUS,KYSE510_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
HEC1A_ENDOMETRIUM,HEC1A_ENDOMETRIUM,Uterus,unknown,unknown,
MIAPACA2_PANCREAS,MIAPACA2_PANCREAS,Pancreas,unknown,unknown,
KON_UPPER_AERODIGESTIVE_TRACT,KON_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
GCT27_TESTIS,GCT27_TESTIS,Testis,unknown,unknown,
HOTHC_THYROID,HOTHC_THYROID,Thyroid,unknown,unknown,
SSP25_BILIARY_TRACT,SSP25_BILIARY_TRACT,Biliary Tract,unknown,unknown,
G415_BILIARY_TRACT,G415_BILIARY_TRACT,Biliary Tract,unknown,unknown,
JEG3_PLACENTA,JEG3_PLACENTA,Uterus,unknown,unknown,
MMNK1_BILIARY_TRACT,MMNK1_BILIARY_TRACT,Biliary Tract,unknown,unknown,
ICC9_BILIARY_TRACT,ICC9_BILIARY_TRACT,Biliary Tract,unknown,unknown,
LS_AUTONOMIC_GANGLIA,LS_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
FLO1_OESOPHAGUS,FLO1_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
SW620_LARGE_INTESTINE,SW620_LARGE_INTESTINE,Bowel,unknown,unknown,
SG231_BILIARY_TRACT,SG231_BILIARY_TRACT,Biliary Tract,unknown,unknown,
RBE_BILIARY_TRACT,RBE_BILIARY_TRACT,Biliary Tract,unknown,unknown,
UPCISCC111_UPPER_AERODIGESTIVE_TRACT,UPCISCC111_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
KOSC2CL343_UPPER_AERODIGESTIVE_TRACT,KOSC2CL343_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
CASKI_CERVIX,CASKI_CERVIX,Cervix,unknown,unknown,
HEC1_ENDOMETRIUM,HEC1_ENDOMETRIUM,Uterus,unknown,unknown,
MCC142_SKIN,MCC142_SKIN,Skin,unknown,unknown,
CCLP1_BILIARY_TRACT,CCLP1_BILIARY_TRACT,Biliary Tract,unknown,unknown,
CCSW1_BILIARY_TRACT,CCSW1_BILIARY_TRACT,Biliary Tract,unknown,unknown,
C33A_CERVIX,C33A_CERVIX,Cervix,unknown,unknown,
SKHEP1_LIVER,SKHEP1_LIVER,Liver,unknown,unknown,
KKU213_BILIARY_TRACT,KKU213_BILIARY_TRACT,Biliary Tract,unknown,unknown,
UMUC5_URINARY_TRACT,UMUC5_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
KKU055_BILIARY_TRACT,KKU055_BILIARY_TRACT,Biliary Tract,unknown,unknown,
ANGMCSS_CENTRAL_NERVOUS_SYSTEM,ANGMCSS_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
UMRC3_KIDNEY,UMRC3_KIDNEY,Kidney,unknown,unknown,
TGBC1TKB_BILIARY_TRACT,TGBC1TKB_BILIARY_TRACT,Biliary Tract,unknown,unknown,
ECC2_BILIARY_TRACT,ECC2_BILIARY_TRACT,Biliary Tract,unknown,unknown,
SKGII_ENDOMETRIUM,SKGII_ENDOMETRIUM,Cervix,unknown,unknown,
SUSA_TESTIS,SUSA_TESTIS,Testis,unknown,unknown,
SW480_LARGE_INTESTINE,SW480_LARGE_INTESTINE,Bowel,unknown,unknown,
PEA1_OVARY,PEA1_OVARY,Ovary/Fallopian Tube,unknown,unknown,
HSC5_SKIN,HSC5_SKIN,Skin,unknown,unknown,
C4I_CERVIX,C4I_CERVIX,Cervix,unknown,unknown,
BICR78_UPPER_AERODIGESTIVE_TRACT,BICR78_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
