clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
CL00104,501A,Skin,501A,Melanoma,27
CL00105,624 mel,Skin,501A,Melanoma,26
CL00106,928 mel,Skin,928 mel,Melanoma,27
CL00107,A-253,Skin,A-253,Carcinoma,47
CL00108,A-375,Skin,A-375,Melanoma,25
CL00109,A-431,Skin,A-431,Carcinoma Squamous Cell,30
CL00110,A2058,Skin,A2058,Melanoma,18
CL00111,A388,Skin,A388,Carcinoma Metastatic,45
CL00112,COLO 800,Skin,COLO 800,Melanoma,45
CL00113,COLO 829,Skin,COLO 829,Melanoma,56
CL00114,COLO 849,Skin,COLO 849,Melanoma Metastatic,47
CL00115,COLO 853,Skin,COLO 853,Melanoma,
CL00116,COLO 857,Skin,COLO 857,Melanoma,31
CL00117,COLO 858,Skin,COLO 858,Melanoma,
CL00118,G-361,Skin,G-361,Melanoma,35
CL00119,HCC1498,Skin,HCC1498,Melanoma,31
CL00120,HMY-1,Skin,HMY-1,Melanoma,31
CL00121,HSC-1,Skin,HSC-1,Carcinoma Squamous Cell,57
CL00122,HSC-5,Skin,HSC-5,Carcinoma Squamous Cell,
CL00123,HT-144,Skin,HT-144,Melanoma,57
CL00124,Hs 294T,Skin,A101D,Melanoma,36
CL00125,Hs 695T,Skin,Hs 695T,Melanoma,56
CL00126,Hs 852.T,Skin,Hs 852.T,Melanoma,63
CL00127,IGR-1,Skin,IGR-1,Melanoma,18
CL00128,IGR-39,Skin,IGR-39,Melanoma,45
CL00129,MDA-MB-435,Skin,MDA-MB-435,Melanoma,35
CL00130,MEL-HO,Skin,MEL-HO,Melanoma,27
CL00131,MEL-JUSO,Skin,MEL-JUSO,Melanoma,29
CL00132,MMAc,Skin,MMAc,Melanoma,82
CL00133,RPMI-7951,Skin,RPMI-7951,Melanoma,30
CL00134,RVH-421,Skin,RVH-421,Melanoma,50
CL00135,SK-MEL-1,Skin,SK-MEL-1,Melanoma Metastatic,63
CL00136,SK-MEL-2,Skin,SK-MEL-2,Melanoma,62
CL00137,SK-MEL-24,Skin,SK-MEL-24,Melanoma,72
CL00138,SK-MEL-28,Skin,SK-MEL-28,Melanoma,39
CL00139,SK-MEL-3,Skin,SK-MEL-3,Melanoma,50
CL00140,SK-MEL-30,Skin,SK-MEL-30,Melanoma,26
CL00141,SK-MEL-31,Skin,SK-MEL-31,Melanoma,55
CL00142,SK23-mel,Skin,SK-23 MEL,Melanoma,20
CL00143,UACC-257,Skin,UACC-257,Melanoma,47
CL00144,UACC-62,Skin,UACC-62,Melanoma Metastatic,39
CL00145,UCSD-242l,Skin,UCSD-242l,Melanoma,46
CL00146,WM-266-4,Skin,WM-266-4,Melanoma,29
