clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
MIAPACA2_PANCREAS,MIAPACA2_PANCREAS,Pancreas,unknown,unknown,
SW480_LARGE_INTESTINE,SW480_LARGE_INTESTINE,Bowel,unknown,unknown,
A375_SKIN,A375_SKIN,Skin,unknown,unknown,
NCIH460_LUNG,NCIH460_LUNG,Lung,unknown,unknown,
SKOV3_OVARY,SKOV3_OVARY,Ovary/Fallopian Tube,unknown,unknown,
HCT116_LARGE_INTESTINE,HCT116_LARGE_INTESTINE,Bowel,unknown,unknown,
A549_LUNG,A549_LUNG,Lung,unknown,unknown,
MCF7_BREAST,MCF7_BREAST,Breast,unknown,unknown,
U251MG_CENTRAL_NERVOUS_SYSTEM,U251MG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
U2OS_BONE,U2OS_BONE,Bone,unknown,unknown,
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
A253_SALIVARY_GLAND,A253_SALIVARY_GLAND,Head and Neck,unknown,unknown,
HEPG2_LIVER,HEPG2_LIVER,Liver,unknown,unknown,
